PhraseId,SentenceId,Phrase,Sentiment,Phrase(origin),Sentiment(predict),Difference(Phrase),Difference(Sentence)
82700,4270,one of the biggest disappointments of the year,1,one of the biggest disappointments of the year,4,3,2.625
82704,4270,biggest disappointments,0,biggest disappointments,2,2,2.625
82703,4270,the biggest disappointments,1,the biggest disappointments,2,1,2.625
82702,4270,the biggest disappointments of the year,1,the biggest disappointments of the year,2,1,2.625
82701,4270,of the biggest disappointments of the year,0,of the biggest disappointments of the year,2,2,2.625
82699,4270,is one of the biggest disappointments of the year,0,is one of the biggest disappointments of the year,4,4,2.625
82697,4270,This is one of the biggest disappointments of the year .,0,This is one of the biggest disappointments of the year .,4,4,2.625
82698,4270,is one of the biggest disappointments of the year .,0,is one of the biggest disappointments of the year .,4,4,2.625
143439,7785,too slight to be called any kind of masterpiece,1,too slight to be called any kind of masterpiece,4,3,2.5454545454545454
143443,7785,called any kind of masterpiece,2,called any kind of masterpiece,4,2,2.5454545454545454
143442,7785,be called any kind of masterpiece,2,be called any kind of masterpiece,4,2,2.5454545454545454
143441,7785,to be called any kind of masterpiece,2,to be called any kind of masterpiece,4,2,2.5454545454545454
143440,7785,slight to be called any kind of masterpiece,1,slight to be called any kind of masterpiece,4,3,2.5454545454545454
143445,7785,of masterpiece,3,of masterpiece,4,1,2.5454545454545454
143444,7785,any kind of masterpiece,2,any kind of masterpiece,4,2,2.5454545454545454
143438,7785,altogether too slight to be called any kind of masterpiece,1,altogether too slight to be called any kind of masterpiece,4,3,2.5454545454545454
143437,7785,seems altogether too slight to be called any kind of masterpiece,0,seems altogether too slight to be called any kind of masterpiece,4,4,2.5454545454545454
143436,7785,seems altogether too slight to be called any kind of masterpiece .,1,seems altogether too slight to be called any kind of masterpiece .,4,3,2.5454545454545454
143435,7785,Lan Yu seems altogether too slight to be called any kind of masterpiece .,1,Lan Yu seems altogether too slight to be called any kind of masterpiece .,4,3,2.5454545454545454
113469,6031,below expectations,3,below expectations,2,1,2.25
113466,6031,Below is well below expectations .,0,Below is well below expectations .,3,3,2.25
113467,6031,is well below expectations .,0,is well below expectations .,3,3,2.25
113468,6031,is well below expectations,1,is well below expectations,3,2,2.25
39924,1908,"no charm , no laughs",0,"no charm , no laughs",3,3,2.1538461538461537
39922,1908,"no charm , no laughs , no fun",0,"no charm , no laughs , no fun",3,3,2.1538461538461537
39923,1908,"no charm , no laughs ,",0,"no charm , no laughs ,",3,3,2.1538461538461537
39927,1908,no laughs,1,no laughs,2,1,2.1538461538461537
39921,1908,"no charm , no laughs , no fun ,",0,"no charm , no laughs , no fun ,",3,3,2.1538461538461537
39920,1908,"no charm , no laughs , no fun , no reason to watch",1,"no charm , no laughs , no fun , no reason to watch",3,2,2.1538461538461537
39919,1908,"no charm , no laughs , no fun , no reason to watch .",0,"no charm , no laughs , no fun , no reason to watch .",3,3,2.1538461538461537
39918,1908,"... no charm , no laughs , no fun , no reason to watch .",0,"... no charm , no laughs , no fun , no reason to watch .",3,3,2.1538461538461537
39926,1908,no charm,1,no charm,3,2,2.1538461538461537
39925,1908,"no charm ,",1,"no charm ,",3,2,2.1538461538461537
39928,1908,no fun,1,no fun,3,2,2.1538461538461537
39930,1908,reason to watch,2,reason to watch,2,0,2.1538461538461537
39929,1908,no reason to watch,0,no reason to watch,1,1,2.1538461538461537
20102,892,will leave you wanting to abandon the theater,1,will leave you wanting to abandon the theater,4,3,2.0833333333333335
20106,892,wanting,2,wanting,2,0,2.0833333333333335
20101,892,will leave you wanting to abandon the theater .,0,will leave you wanting to abandon the theater .,4,4,2.0833333333333335
20100,892,'' will leave you wanting to abandon the theater .,0,'' will leave you wanting to abandon the theater .,4,4,2.0833333333333335
20099,892,Abandon,1,Abandon,2,1,2.0833333333333335
20098,892,Abandon '' will leave you wanting to abandon the theater .,0,Abandon '' will leave you wanting to abandon the theater .,4,4,2.0833333333333335
20097,892,`` Abandon '' will leave you wanting to abandon the theater .,0,`` Abandon '' will leave you wanting to abandon the theater .,4,4,2.0833333333333335
20105,892,wanting to abandon the theater,1,wanting to abandon the theater,2,1,2.0833333333333335
20104,892,you wanting to abandon the theater,1,you wanting to abandon the theater,2,1,2.0833333333333335
20108,892,abandon the theater,1,abandon the theater,2,1,2.0833333333333335
20107,892,to abandon the theater,1,to abandon the theater,2,1,2.0833333333333335
20103,892,leave you wanting to abandon the theater,0,leave you wanting to abandon the theater,1,1,2.0833333333333335
109672,5811,than fresh,2,than fresh,3,1,2.0
80680,4155,well-crafted letdown .,1,well-crafted letdown .,3,2,2.0
109671,5811,Less than fresh,0,Less than fresh,3,3,2.0
117687,6281,Thumbs down,0,Thumbs down,2,2,2.0
117686,6281,Thumbs down .,0,Thumbs down .,2,2,2.0
109670,5811,Less than fresh .,1,Less than fresh .,3,2,2.0
104899,5539,snagged,2,snagged,2,0,2.0
104897,5539,somehow snagged an Oscar nomination,1,somehow snagged an Oscar nomination,4,3,2.0
104896,5539,which somehow snagged an Oscar nomination,1,which somehow snagged an Oscar nomination,4,3,2.0
49009,2392,Terrible .,0,Terrible .,2,2,2.0
82935,4282,infuriating film .,0,infuriating film .,2,2,2.0
154774,8466,` perfection,4,` perfection,2,2,2.0
82934,4282,An infuriating film .,0,An infuriating film .,2,2,2.0
154773,8466,it ` perfection,4,it ` perfection,2,2,2.0
154772,8466,Consider it ` perfection,4,Consider it ` perfection,2,2,2.0
154771,8466,Consider it ` perfection .,4,Consider it ` perfection .,2,2,2.0
154770,8466,Consider it ` perfection . ',4,Consider it ` perfection . ',2,2,2.0
113298,6020,real snooze .,0,real snooze .,2,2,2.0
113297,6020,A real snooze .,0,A real snooze .,2,2,2.0
7973,325,See it .,4,See it .,2,2,2.0
124454,6686,Horrible .,0,Horrible .,2,2,2.0
104894,5539,Norwegian offering which somehow snagged an Oscar nomination,1,Norwegian offering which somehow snagged an Oscar nomination,4,3,2.0
104895,5539,Norwegian offering,2,Norwegian offering,2,0,2.0
59965,3025,is one baaaaaaaaad movie,0,is one baaaaaaaaad movie,2,2,2.0
107490,5679,Fantastic !,4,Fantastic !,2,2,2.0
80729,4158,can not recommend it enough .,4,ca n't recommend it enough .,2,2,2.0
144269,7831,gripping drama .,4,gripping drama .,2,2,2.0
139699,7579,Refreshing .,4,Refreshing .,2,2,2.0
114979,6123,What an embarrassment .,0,What an embarrassment .,2,2,2.0
114980,6123,an embarrassment .,0,an embarrassment .,2,2,2.0
114981,6123,embarrassment .,0,embarrassment .,2,2,2.0
80732,4158,it enough,2,it enough,2,0,2.0
80731,4158,recommend it enough,3,recommend it enough,2,1,2.0
80730,4158,can not recommend it enough,4,ca n't recommend it enough,2,2,2.0
80728,4158,simply can not recommend it enough .,4,simply ca n't recommend it enough .,0,4,2.0
